Date,BATBC.Open,BATBC.High,BATBC.Low,BATBC.Close,BATBC.Volume,BATBC.Adjusted
2019-04-28,3351.2,3511.8,3340,3483.8,17536,3483.8
2019-04-27,3314,3370,3300,3344.6,14805,3344.6
2019-04-26,3293.1,3335,3280,3313.1,89,3313.1
2019-04-25,3280,3300,3275.1,3293.1,435,3293.1
2019-04-24,3300,3300,3294,3299.8,323,3299.8
2019-04-23,3320,3320,3280,3290.3,403,3290.3
2019-04-22,3281.2,3354.6,3280,3308.5,386,3308.5
2019-04-21,3330,3335,3280,3291.1,104,3291.1
2019-04-20,3370.9,3370.9,3312,3316.6,141,3316.6
2019-04-19,3364,3375,3349,3357.1,311,3357.1
2019-04-18,3380,3390,3343.2,3363.5,1271,3363.5
2019-04-17,3380,3400,3350,3351.4,3100,3351.4
2019-04-16,3350,3396,3350,3376.1,240,3376.1
2019-04-15,3348.9,3350,3338.2,3344.9,177,3344.9
2019-04-14,3325,3355,3310,3337.1,37,3337.1
2019-04-13,3349.9,3350,3348,3349.4,319,3349.4
2019-04-12,3330,3350,3330,3341.9,654,3341.9
2019-04-11,3350,3350,3300,3306.7,163,3306.7
2019-04-10,3320,3344.9,3315,3323.5,379,3323.5
2019-04-09,3315,3315.6,3311.6,3313.8,22,3313.8
2019-04-08,3310,3348.9,3306,3337,886,3337
2019-04-07,3311.1,3311.1,3300,3304.8,266,3304.8
2019-04-06,3311,3311,3311,3311,10,3311
2019-04-05,3300,3330,3280.2,3320.4,4362,3320.4
2019-04-04,3290.1,3318,3290.1,3290.6,56,3290.6
2019-04-03,3331,3331,3290,3295.2,55,3295.2
2019-04-02,3300,3300,3280,3290.9,69,3290.9
2019-04-01,3397,3397,3300,3307.8,38,3307.8
2019-03-31,3275.2,3331,3275.2,3327.9,298,3327.9
2019-03-30,3332,3332,3276,3313.7,146,3313.7
2019-03-29,3340,3359,3232,3330.6,7,3330.6
2019-03-28,3335,3355,3333,3337,432,3337
2019-03-27,3340,3343.9,3275,3307.8,72,3307.8
2019-03-26,3270,3319,3252.1,3304.2,53,3304.2
2019-03-25,3300,3300,3256.1,3261.1,123,3261.1
2019-03-24,3336.2,3340,3250,3297.4,227,3297.4
2019-03-23,3286,3350,3286,3336.2,209,3336.2
2019-03-22,3365,3365,3320,3351.8,190,3351.8
2019-03-21,3394.5,3394.5,3332.5,3369.5,327,3369.5
2019-03-20,3310,3398.9,3310,3367.5,132,3367.5
2019-03-19,3329.9,3329.9,3329.9,3329.9,2,3329.9
2019-03-18,3310,3310,3303,3303.1,232,3303.1
2019-03-17,3330,3330,3300,3300.3,589,3300.3
2019-03-16,3360,3370,3327,3331.2,1382,3331.2
2019-03-15,3349.5,3360,3305,3327.3,377,3327.3
2019-03-14,3300.5,3373,3300,3301,161,3301
2019-03-13,3300,3301.3,3300,3300.5,77,3300.5
2019-03-12,3312,3315,3310,3313.2,225,3313.2
2019-03-11,3311,3350,3310,3311.2,66,3311.2
2019-03-10,3311,3311.1,3311,3311,23,3311
2019-03-09,3353.6,3370,3310,3311,2160,3311
2019-03-08,3390,3399,3360.7,3372.4,958,3372.4
2019-03-07,3394,3395,3350,3390,6245,3390
2019-03-06,3333,3390,3333,3379.8,26683,3379.8
2019-03-05,3350,3394,3350,3372.7,11,3372.7
2019-03-04,3312,3390,3304,3314.7,466,3314.7
2019-03-03,3302.9,3305.3,3300,3300.4,160,3300.4
2019-03-02,3303,3303,3302,3302.9,58,3302.9
2019-03-01,3300,3400,3300,3362.7,94,3362.7
2019-02-28,3400,3400,3361,3391.9,84,3391.9
2019-02-27,3309,3469.3,3309,3452.4,14957,3452.4
2019-02-26,3290,3319.5,3290,3304.1,340,3304.1
2019-02-25,3300,3310.1,3295,3296.5,675,3296.5
2019-02-24,3292,3319.9,3292,3301.9,280,3301.9
2019-02-23,3292.1,3315,3292,3300,853,3300
2019-02-22,3290,3290,3290,3290,831,3290
2019-02-21,3280,3325,3280,3313.5,116,3313.5
2019-02-20,3280,3300,3280,3299.3,388,3299.3
2019-02-19,3322,3322,3300,3300.3,326,3300.3
2019-02-18,3335,3336,3320,3327.3,876,3327.3
2019-02-17,3325,3355,3325,3348.2,387,3348.2
2019-02-16,3325.5,3334,3320,3321.5,167,3321.5
2019-02-15,3300,3330,3300,3312.1,7303,3312.1
2019-02-14,3300,3309,3272,3300.2,793,3300.2
2019-02-13,3285,3285,3270,3277.4,1047,3277.4
2019-02-12,3275.3,3303.9,3275.1,3293.5,155,3293.5
2019-02-11,3265,3320,3240,3306.2,697,3306.2
2019-02-10,3257,3275,3257,3269.3,271,3269.3
2019-02-09,3278,3278.1,3250,3255.8,569,3255.8
2019-02-08,3322,3322,3276,3276.9,368,3276.9
2019-02-07,3295,3306.5,3280,3291.4,1762,3291.4
2019-02-06,3281,3300.1,3280.1,3299.9,611,3299.9
2019-02-05,3252.2,3310,3252.2,3301.7,521,3301.7
2019-02-04,3234.1,3335,3234.1,3302.3,1937,3302.3
2019-02-03,3237.1,3265,3237.1,3240.2,771,3240.2
2019-02-02,3232.3,3240,3231.2,3237.1,779,3237.1
2019-02-01,3240,3269.9,3230,3231,620,3231
2019-01-31,3235.2,3250,3235,3246.7,2608,3246.7
2019-01-30,3280,3300,3271,3275.2,2934,3275.2
2019-01-29,3240,3298,3220,3277.1,421,3277.1
2019-01-28,3254.9,3255,3225,3226.4,195,3226.4
2019-01-27,3329.9,3329.9,3220,3232.9,699,3232.9
2019-01-26,3349.9,3355,3198.3,3216.4,12002,3216.4
2019-01-25,3240,3385.8,3187,3196,3072,3196
2019-01-24,3197.3,3238,3160,3224.6,629,3224.6
2019-01-23,3250,3250,3196,3199,233,3199
2019-01-22,3220.2,3220.2,3200,3201.6,711,3201.6
2019-01-21,3210,3268,3200.1,3240.4,259,3240.4
2019-01-20,3250,3299.1,3250,3269.4,40,3269.4
2019-01-19,3300.8,3390,3250,3251.5,3473,3251.5
2019-01-18,3300,3300,3285.3,3299.3,1054,3299.3
2019-01-17,3295,3340,3291.2,3303,765,3303
2019-01-16,3349.9,3349.9,3279,3293.9,288,3293.9
2019-01-15,3351,3390,3290,3296.4,8771,3296.4
2019-01-14,3340,3398,3300,3331.1,977,3331.1
2019-01-13,3371,3400,3301,3308,2147,3308
2019-01-12,3420,3420,3336,3370.6,187,3370.6
2019-01-11,3406,3406.1,3406,3406,65,3406
2019-01-10,3432,3432,3405,3423.9,231,3423.9
2019-01-09,3529,3529,3430,3438.4,188,3438.4
2019-01-08,3411.1,3411.1,3411.1,3411.1,28,3411.1
2019-01-07,3575,3575,3450,3456.7,356,3456.7
2019-01-06,3496,3496,3431,3440.4,374,3440.4
2019-01-05,3494,3494,3415.2,3419.9,895,3419.9
2019-01-04,3430,3471.4,3421,3442.3,495,3442.3
2019-01-03,3525.1,3530,3420.1,3449.9,430,3449.9
2019-01-02,3460,3498.5,3455.2,3492.3,294,3492.3
2019-01-01,3450.1,3461,3450.1,3455,76,3455
2018-12-31,3450,3470,3450,3451.4,73,3451.4
2018-12-30,3450,3489.5,3385,3482.3,121,3482.3
2018-12-29,3410,3508,3400,3478.9,258,3478.9
2018-12-28,3469.9,3469.9,3425,3438.8,25,3438.8
2018-12-27,3403,3425,3402.1,3414.7,691,3414.7
2018-12-26,3419.9,3500,3376.1,3399.3,943,3399.3
2018-12-25,3371,3390.1,3370,3389,60,3389
2018-12-24,3400,3408.9,3351.1,3394.5,2531,3394.5
2018-12-23,3335,3390,3335,3390,5923,3390
2018-12-22,3394.6,3420,3361.1,3383.4,102,3383.4
2018-12-21,3380,3409,3375,3394.6,365,3394.6
2018-12-20,3343,3419.4,3343,3399.2,526,3399.2
2018-12-19,3392,3399.9,3390,3392,278,3392
2018-12-18,3405,3405,3386.2,3392.6,348,3392.6
2018-12-17,3409.9,3409.9,3400,3400.2,318,3400.2
2018-12-16,3400,3437,3400,3411.9,250,3411.9
2018-12-15,3371,3398.9,3370,3370.8,521,3370.8
2018-12-14,3365,3409.9,3363.1,3388.4,219,3388.4
2018-12-13,3407.5,3448,3400,3402.9,195,3402.9
2018-12-12,3470,3470,3401,3407.5,2267,3407.5
2018-12-11,3401.1,3493.9,3401.1,3463,3,3463
2018-12-10,3395,3500,3395,3468.3,155,3468.3
2018-12-09,3430.1,3430.1,3385.1,3398,524,3398
2018-12-08,3422.1,3460,3422.1,3444.1,169,3444.1
2018-12-07,3499.9,3559.9,3480,3495,1083,3495
2018-12-06,3401,3401,3401,3401,1,3401
2018-12-05,3400,3400,3351,3398.9,148,3398.9
2018-12-04,3426,3436,3415,3429.6,1598,3429.6
2018-12-03,3477,3477,3400,3425.7,3,3425.7
2018-12-02,3365,3450,3365,3412.4,587,3412.4
2018-12-01,3441,3441,3405.1,3410.3,172,3410.3
2018-11-30,3458,3458,3440,3440.8,581,3440.8
2018-11-29,3460,3467.9,3430.1,3459.9,9622,3459.9
2018-11-28,3504,3504.1,3430,3463.4,112,3463.4
2018-11-27,3456.2,3510,3450,3500.4,10660,3500.4
2018-11-26,3415.4,3498,3415.4,3454.5,315,3454.5
2018-11-25,3349.5,3435,3349.5,3415.4,2684,3415.4
2018-11-24,3341,3349.5,3341,3347.1,20,3347.1
2018-11-23,3331.2,3387.9,3330.1,3330.9,82,3330.9
2018-11-22,3355,3378,3306.2,3312.7,921,3312.7
2018-11-21,3388,3388,3350.3,3351.1,268,3351.1
2018-11-20,3360,3399,3340,3350.9,200,3350.9
2018-11-19,3380,3380,3341.5,3350.9,1097,3350.9
2018-11-18,3450,3450,3350,3361.8,507,3361.8
2018-11-17,3438,3438,3362,3368.6,3016,3368.6
2018-11-16,3410,3415,3400,3409.4,1601,3409.4
2018-11-15,3398,3449.8,3398,3413.6,38,3413.6
2018-11-14,3400,3411,3385,3394.6,874,3394.6
2018-11-13,3450,3450,3382.5,3389.4,864,3389.4
2018-11-12,3404,3410,3402,3403.1,305,3403.1
2018-11-11,3430,3439,3413,3427.5,329,3427.5
2018-11-10,3440,3498,3380,3435.2,5400,3435.2
2018-11-09,3439.9,3439.9,3381,3388.9,427,3388.9
2018-11-08,3380.6,3490.8,3380.6,3404.5,483,3404.5
2018-11-07,3498,3498,3350,3389.2,724,3389.2
2018-11-06,3490,3490,3456.3,3459.1,890,3459.1
2018-11-05,3500,3569,3480.1,3488,222,3488
2018-11-04,3620,3620,3502,3513.6,76,3513.6
2018-11-03,3485,3519.4,3480,3505.6,97,3505.6
2018-11-02,3537,3537.9,3506,3511.2,84,3511.2
2018-11-01,3519.9,3540,3472,3506.6,488,3506.6
2018-10-31,3520,3520,3425,3460.2,1574,3460.2
2018-10-30,3540,3540,3485,3500.1,951,3500.1
2018-10-29,3505.6,3535,3502,3512.3,53,3512.3
2018-10-28,3492,3545,3485,3499.9,268,3499.9
2018-10-27,3546.1,3546.1,3482,3490.8,810,3490.8
2018-10-26,3601,3602,3523,3538.9,686,3538.9
2018-10-25,3599,3647.8,3597.4,3621.6,255,3621.6
2018-10-24,3650,3650,3600.1,3613,323,3613
2018-10-23,3610,3610,3600,3602.4,1027,3602.4
2018-10-22,3588.5,3650,3588.5,3608.1,7307,3608.1
2018-10-21,3590.1,3590.1,3580,3588.5,292,3588.5
2018-10-20,3620,3620,3559,3588.4,1540,3588.4
2018-10-19,3650,3650,3592,3599.9,685,3599.9
2018-10-18,3660,3700,3660,3685.5,386,3685.5
2018-10-17,3640,3668,3640,3661,4,3661
2018-10-16,3700,3700,3650,3651.1,225,3651.1
2018-10-15,3604.1,3677,3604.1,3623,208,3623
2018-10-14,3647,3650,3600,3601.1,13242,3601.1
2018-10-13,3684.1,3685.5,3625.2,3645.7,269,3645.7
2018-10-12,3780,3780,3680,3684.1,215,3684.1
2018-10-11,3651.5,3749,3651.5,3712.2,609,3712.2
2018-10-10,3707,3710,3691.5,3704.5,329,3704.5
2018-10-09,3737.9,3737.9,3680,3691.5,105,3691.5
2018-10-08,3750,3750,3670,3693,149,3693
2018-10-07,3720,3720,3700,3704.2,170,3704.2
2018-10-06,3790,3799,3748,3780,161,3780
2018-10-05,3800,3800,3726.5,3777.1,4212,3777.1
2018-10-04,3780,3810,3688.2,3777.8,1413,3777.8
2018-10-03,3800,3838,3770,3771.8,836,3771.8
2018-10-02,3640,3785.7,3640,3784.6,3496,3784.6
2018-10-01,3560,3640,3555.2,3605.5,3789,3605.5
2018-09-30,3549,3570,3545,3558.9,1775,3558.9
2018-09-29,3550,3550,3502.2,3528.3,921,3528.3
2018-09-28,3520,3520,3460,3518.1,1099,3518.1
2018-09-27,3430,3450,3430,3437.8,6007,3437.8
2018-09-26,3422.1,3445,3422.1,3430,345,3430
2018-09-25,3421.6,3425,3421.2,3425,1590,3425
2018-09-24,3416.4,3425,3416.4,3420.4,108,3420.4
2018-09-23,3413.2,3425,3413.2,3414.8,1067,3414.8
2018-09-22,3400.4,3416,3400.4,3413.2,12710,3413.2
2018-09-21,3410,3410,3400.3,3400.4,270,3400.4
2018-09-20,3401,3427,3400.1,3425,445,3425
2018-09-19,3395,3427,3395,3411.9,288,3411.9
2018-09-18,3395.5,3420,3395.1,3395.7,203,3395.7
2018-09-17,3392,3415,3391.6,3393.1,31,3393.1
2018-09-16,3425,3440,3425,3425.1,391,3425.1
2018-09-15,3426.9,3435,3418,3425.3,104,3425.3
2018-09-14,3370,3430,3370,3426.9,21,3426.9
2018-09-13,3400,3400,3370,3380.3,106,3380.3
2018-09-12,3401.6,3401.6,3378,3400.3,921,3400.3
2018-09-11,3390,3410,3370,3401.6,507,3401.6
2018-09-10,3398,3400,3380,3398.6,459,3398.6
2018-09-09,3390,3400,3350,3367.5,783,3367.5
2018-09-08,3365,3385,3365,3370,240,3370
2018-09-07,3370,3370,3345,3363.8,65,3363.8
2018-09-06,3420,3448,3360,3403.7,197,3403.7
2018-09-05,3350,3380,3350,3379.5,385,3379.5
2018-09-04,3355,3370,3345,3353.2,154,3353.2
2018-09-03,3307,3344.9,3302.1,3319.4,613,3319.4
2018-09-02,3400,3400,3319.1,3338.6,1432,3338.6
2018-09-01,3405.5,3405.5,3369,3402.9,139,3402.9
2018-08-31,3475,3490,3401,3402.6,335,3402.6
2018-08-30,3490,3490,3460,3465,77,3465
2018-08-29,3490,3493,3459.9,3488.6,331,3488.6
2018-08-28,3516.9,3570,3500.1,3520.4,353,3520.4
2018-08-27,3575,3575,3500,3509.4,2622,3509.4
2018-08-26,3350,3499,3350,3497.9,132357,3497.9
2018-08-25,3301,3345,3300,3332.8,1118,3332.8
2018-08-24,3330,3340,3300,3340,355,3340
2018-08-23,3101,3102,3100,3101.3,446,3101.3
2018-08-22,3070,3105,3070,3103.7,1032,3103.7
2018-08-21,3000.3,3100,3000.3,3067.8,957,3067.8
2018-08-20,3010,3048,3010,3014.6,25,3014.6
2018-08-19,3000,3043,3000,3003,202,3003
2018-08-18,3050,3050,3016,3032.9,17,3032.9
2018-08-17,3050,3050,3050,3050,7,3050
2018-08-16,3040,3079,3040,3044.7,26,3044.7
2018-08-15,3024,3025.3,3024,3024.3,4,3024.3
2018-08-14,2785.1,2785.1,2785.1,2785.1,1,2785.1
2018-08-13,2785,2785,2780,2784.4,17,2784.4
2018-08-12,2780,2800,2780,2783.1,211,2783.1
2018-08-11,2765.1,2801,2765,2766.9,222,2766.9
2018-08-10,2900,2900,2900,2900,10,2900
2018-08-09,2851.2,3020,2851.2,2876.7,39,2876.7
